п/п;Наименование;Муниципальное образование, на территории которого располагается объект;Район;Адрес объекта;Контактный телефон
№;Name;Municipality;Area;Address;Phone
404;Муниципальное бюджетное образовательное учреждение Госселекционная средняя общеобразовательная школа Камышинского муниципального района Волгоградской области;;Камышинский муниципальный район;403853,  Волгоградская область, Камышинский район, п.Госселекстанция, ул. Почтовая, дом 10   ;8(84457)72418
405;Муниципальное бюджетное образовательное учреждение Костарёвская средняя общеобразовательная школа Камышинского муниципального района Волгоградской области;;Камышинский муниципальный район;403839, Волгоградская область,Камышинский район, с.Костарёво ул.Советская 24 ; 8(84457)78484
406;Муниципальное бюджетное образовательное учреждение Умётовская средняя общеобразовательная школа Камышинского муниципального района Волгоградской области;;Камышинский муниципальный район;403859, Волгоградская область, Камышинский район, село Умёт, улица 60 лет Октября, дом 30 ;8(84457)77145
407;Муниципальное бюджетное образовательное учреждение Сестренская средняя общеобразовательная школа Камышинского муниципального района Волгоградской области;;Камышинский муниципальный район;403857, Волгоградская область, Камышинский район, село Вихлянцево, ул.Мира, д.25    ;8(84457)73588
408;Муниципальное бюджетное образовательное учреждение Терновская средняя общеобразовательная школа Камышинского муниципального района Волгоградской области;;Камышинский муниципальный район;403858, Волгоградская область, Камышинский район, с.Терновка, ул.Центральная, дом 1б,   ;8(84457)76122
409;Муниципальное бюджетное образовательное учреждение Петрунинская средняя общеобразовательная школа Камышинского муниципального района Волгоградской области;;Камышинский муниципальный район; 403844, Волгоградская область, Камышинский район, с.Петрунино, ул.Школьная, дом 6;8(84457)73137
410;Муниципальное бюджетное образовательное учреждение Семеновская средняя общеобразовательная школа Камышинского муниципального района Волгоградской области;;Камышинский муниципальный район;403831, Волгоградская область, Камышинский район, с.Семеновка, улица Школьная, дом 6а   ;8(84457)73740
411;Муниципальное казенное образовательное учреждение  Чухонастовская муниципальная основная общеобразовательная школа Камышинского муниципального района Волгоградской области;;Камышинский муниципальный район;403855, Волгоградская область, Камышинский район, с.Чухонастовка, ул. Советская, д.14;8(84457)78725
412;Муниципальное казенное образовательное учреждение Елшанская начальная общеобразовательная школа Камышинского муниципального района Волгоградской области;;Камышинский муниципальный район;403882,  Волгоградская область, Камышинский район, с.Ельшанка, ул.Центральная, дом 16;8(84457)9-50-35
413;"Муниципальное казенное образовательное учреждение ""Преображенская средняя общеобразовательная школа""";Киквидзенский муинципальный район;Киквидзенский район;403221, Волгоградская обл., Киквидзенский р-н, ст-ца Преображенская, ул.Комсомольская, 25;(84445)3-12-63
