п/п;Наименование;Муниципальное образование, на территории которого располагается объект;Район;Адрес объекта;Контактный телефон
№;Name;Municipality;Area;Address;Phone
1;Муниципальное образовательное учреждение средняя общеобразовательная школа № 1 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400006, Волгоград, ул. Ополченская, д.42а;71-48-37
2;Муниципальное образовательное учреждение средняя общеобразовательная школа № 3 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400006, Волгоград, ул. Ополченская, д.1;74-01-32
3;Муниципальное образовательное учреждение средняя общеобразовательная школа № 4 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400017, Волгоград, ул. Тракторостроителей, д.15;74-01-85
4;Муниципальное образовательное учреждение средняя общеобразовательная школа № 12 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400015, Волгоград, пр-кт .им. В.И. Ленина, д.197б;76-54-40
5;Муниципальное образовательное учреждение средняя общеобразовательная школа № 17 им. 37-й Гвардейской стрелковой дивизии Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400006, Волгоград, ул. Дзержинского, д.40;74-06-65
6;Муниципальное образовательное учреждение средняя общеобразовательная школа № 18 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400093, Волгоград, ул. им. академика Богомольца, д.18;77-33-77
7;Муниципальное образовательное учреждение средняя общеобразовательная школа № 26 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400006, Волгоград, ул. им. Дзержинского, д.68а;74-03-21
8;Муниципальное образовательное учреждение средняя общеобразовательная школа № 27 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400033, Волгоград, ул. им.Менжинского, д.6;79-24-27
9;Муниципальное образовательное учреждение средняя общеобразовательная школа № 29 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400006, Волгоград, ул. Дегтярева, д.10;74-02-94
10;Муниципальное образовательное учреждение средняя общеобразовательная школа № 45 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400125, Волгоград, ул. им.Грамши, д.31;70-12-06
11;Муниципальное образовательное учреждение средняя общеобразовательная школа № 51 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400121, Волгоград, ул. им.Кропоткина, д.9;70-12-89
12;Муниципальное образовательное учреждение средняя общеобразовательная школа № 61 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400125, Волгоград, ул. им.Грамши, д.39;70-95-17
13;Муниципальное образовательное учреждение средняя общеобразовательная школа № 74 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400058, Волгоград, ул. Мелиораторов, д.9;35-43-93
14;Муниципальное образовательное учреждение средняя общеобразовательная школа № 86 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400065, Волгоград, ул. им.Салтыкова-Щедрина, д.23а;71-48-22
15;Муниципальное образовательное учреждение средняя общеобразовательная школа № 87 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400125, Волгоград, ул. им.Колумба, д.1;70-56-49
16;Муниципальное образовательное учреждение средняя общеобразовательная школа № 88 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;4000093, Волгоград, ул. им. академика Богомольца, д.15;79-24-44
17;Муниципальное образовательное учреждение средняя общеобразовательная школа № 94 с углубленным изучением отдельных предметов Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400088, Волгоград, ул. Метростроевская, д.3а;71-42-10
18;Муниципальное образовательное учреждение средняя общеобразовательная школа № 99 имени дважды Героя Советского Союза А.Г. Кравченко Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400065, Волгоград, ул. Загорская, д.17;71-17-44
19;Муниципальное образовательное учреждение открытая (сменная) общеобразовательная школа № 20 Тракторозаводского района г.Волгограда;городской округ город-герой Волгоград;Тракторозаводский район;400065, Волгоград, ул. им. Демьяна Бедного, д.12;71-56-22
20;Муниципальное образовательное учреждение средняя общеобразовательная школа № 2 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400016, Волгоград, ул. Прибалтийская, д.1а;27-24-40
21;Муниципальное образовательное учреждение средняя общеобразовательная школа № 5 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400064, Волгоград, ул. им. Репина, д.19;72-45-13
22;Муниципальное образовательное учреждение средняя общеобразовательная школа № 13 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400123, Волгоград, ул. Таращанцев, д.51;71-34-66
23;Муниципальное образовательное учреждение средняя общеобразовательная школа № 16 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400105, Волгоград, пр-кт. им. В.И. Ленина, д.133;71-02-77
24;Муниципальное образовательное учреждение средняя общеобразовательная школа с углубленным изучением отдельных предметов № 20 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400007, Волгоград, пр-кт. им. В.И. Ленина, д.83;73-21-53
25;Муниципальное образовательное учреждение средняя общеобразовательная школа № 30 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400065, Волгоград, ул. Никопольская, д.1;71-16-09
26;Муниципальное образовательное учреждение средняя общеобразовательная школа № 32 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400040, Волгоград, ул. им.Качалова, д.54;28-81-79
27;Муниципальное образовательное учреждение средняя общеобразовательная школа № 34 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400078, Волгоград, пр-кт.им. В.И. Ленина, д.69;73-24-74
28;Муниципальное образовательное учреждение средняя общеобразовательная школа № 35 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400007, Волгоград, ул. Таращанцев, д.11а;73-61-53
29;Муниципальное образовательное учреждение средняя общеобразовательная школа № 49 с углубленным изучением отдельных предметов Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400064, Волгоград, ул. им.Репина, д.11 ;73-09-52
30;Муниципальное образовательное учреждение средняя общеобразовательная школа № 72 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400123, Волгоград, ул. Коммунаров, д.22;27-21-77
31;Муниципальное образовательное учреждение средняя общеобразовательная школа № 76 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400040, Волгоград, ул. Созидательская, д.27;73-89-56
32;Муниципальное образовательное учреждение средняя общеобразовательная школа № 78 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400123, Волгоград, ул. им.Хользунова, д.33;75-17-92
33;Муниципальное образовательное учреждение средняя общеобразовательная школа № 91 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400127, Волгоград, ул. им.Асланова, д.39;73-16-75
34;Муниципальное образовательное учреждение средняя общеобразовательная школа № 92 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400064, Волгоград, ул. им.Вершинина, д.5а;73-15-23
35;Муниципальное образовательное учреждение средняя общеобразовательная школа № 95 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400009, Волгоград, пр-кт.им. В.И. Ленина, д.151а;71-19-74
36;Муниципальное образовательное учреждение средняя общеобразовательная школа № 98 Краснооктябрьского района г.Волгограда;городской округ город-герой Волгоград;Краснооктябрьский район ;400123, Волгоград, ул. им.Пельше, д.15б;71-03-00
37;Муниципальное образовательное учреждение общеобразовательная школа-интернат № 8 основного общего образования Краснооктябрьского района г.Волгограда ;городской округ город-герой Волгоград;Краснооктябрьский район ;400065, Волгоград, ул. им. маршала Еременко, д.57;71-19-77
38;Муниципальное образовательное учреждение средняя общеобразовательная школа № 6 Центрального района г.Волгограда;городской округ город-герой Волгоград;Центральный район;400050, Волгоград, ул. Хиросимы, д.10;37-05-92
39;Муниципальное образовательное учреждение средняя общеобразовательная школа № 7 Центрального района г.Волгограда;городской округ город-герой Волгоград;Центральный район;400005, Волгоград, ул. Школьная, д.11;23-57-65
40;Муниципальное образовательное учреждение средняя общеобразовательная школа № 10 Центрального района г.Волгограда;городской округ город-герой Волгоград;Центральный район;400087, Волгоград, ул.им. Пархоменко, д.23;33-91-36
41;Муниципальное образовательное учреждение средняя общеобразовательная школа № 19 Центрального района г.Волгограда;городской округ город-герой Волгоград;Центральный район;400131, Волгоград, ул. Советская, д.24;38-68-02
42;Муниципальное образовательное учреждение средняя общеобразовательная школа № 44 с углубленным изучением отдельных предметов Центрального района г.Волгограда;городской округ город-герой Волгоград;Центральный район;400087, Волгоград, ул. им. Рокоссовского, д.40а;37-13-29
43;Муниципальное образовательное учреждение средняя общеобразовательная школа с углубленным изучением отдельных предметов № 81 Центрального района г.Волгограда;городской округ город-герой Волгоград;Центральный район;400131, Волгоград, ул. им. маршала Чуйкова, д.13;38-08-32
44;Муниципальное образовательное учреждение средняя общеобразовательная школа № 83 Центрального района г.Волгограда;городской округ город-герой Волгоград;Центральный район;400131, Волгоград, ул. им. Ленина, д.21;33-44-42
45;Муниципальное образовательное учреждение средняя общеобразовательная школа № 84 Центрального района г.Волгограда;городской округ город-герой Волгоград;Центральный район;400005, Волгоград, ул. Коммунистическая, д.60;23-34-78
46;Муниципальное образовательное учреждение средняя общеобразовательная школа № 33 с углубленным изучением отдельных предметов Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400117, Волгоград, ул.им. К. Симонова, д.29;58-82-43
47;Муниципальное образовательное учреждение средняя общеобразовательная школа № 36 Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400081, Волгоград, ул. Римского-Корсакова, д.1;36-37-95
48;Муниципальное образовательное учреждение средняя общеобразовательная школа № 37 Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400012, Волгоград, пр-кт. им. маршала Советского Союза Г.К. Жукова, д.13;32-98-91
49;Муниципальное образовательное учреждение средняя общеобразовательная школа № 40 Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400094, Волгоград, ул. им. 51-й Гвардейской, д.48;58-19-90
50;Муниципальное образовательное учреждение основная общеобразовательная школа № 41 Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400010, Волгоград, ул. Охотская, д.19;33-91-90
51;Муниципальное образовательное учреждение средняя общеобразовательная школа № 43 Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400012, Волгоград, пр-кт. им. маршала Советского Союза Г.К. Жукова, д.84;54-12-90
52;Муниципальное образовательное учреждение средняя общеобразовательная школа № 50 Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400122, Волгоград, р.п. Гумрак, ул. Строителей, д.4;70-18-50
53;Муниципальное образовательное учреждение средняя общеобразовательная школа № 67 Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400081, Волгоград, ул. Ангарская, д.15;37-78-44
54;Муниципальное образовательное учреждение средняя общеобразовательная школа № 73 Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400036, Волгоград, пос. Аэропорт;31-73-27
55;Муниципальное образовательное учреждение средняя общеобразовательная школа № 82 Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400081, Волгоград, ул. Ангарская, д.49;36-23-33
56;Муниципальное образовательное учреждение средняя общеобразовательная школа № 85 им. Героя Российской Федерации Г.П. Лячина Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400048, Волгоград, ул. Эльбрусская, д.91;78-64-26
57;Муниципальное образовательное учреждение средняя общеобразовательная школа № 89 Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400075, Волгоград, ул. Республиканская, д.5;54-57-43
58;Муниципальное образовательное учреждение средняя общеобразовательная школа № 96 с углубленным изучением отдельных предметов Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400107, Волгоград, ул. Рионская, д.14;36-54-62
59;Муниципальное образовательное учреждение средняя общеобразовательная школа № 97 с углубленным изучением отдельных предметов Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400071, Волгоград, ул. Пятиизбянская, д.5;58-64-00
60;Муниципальное образовательное учреждение средняя общеобразовательная школа № 101 Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400075, Волгоград, ул. Республиканская, д.18;54-64-60
61;Муниципальное образовательное учреждение средняя общеобразовательная школа № 102 Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400137, Волгоград, бульвар 30-летия Победы, д.66а;53-94-19
62;Муниципальное образовательное учреждение средняя общеобразовательная школа № 128 Дзержинского района г.Волгограда;городской округ город-герой Волгоград;Дзержинский район;400075, Волгоград, ул. Гейне, д.7;58-44-91
63;Муниципальное образовательное учреждение средняя общеобразовательная школа № 11 Ворошиловского района г.Волгограда;городской округ город-герой Волгоград;Ворошиловский район;400120, Волгоград, ул. Комитетская, д.58;97-37-72
64;Муниципальное образовательное учреждение средняя общеобразовательная школа № 14 Ворошиловского района г.Волгограда;городской округ город-герой Волгоград;Ворошиловский район;400120, Волгоград, ул. Ставропольская, д.71;95-34-06
65;Муниципальное образовательное учреждение средняя общеобразовательная школа № 21 с углубленным изучением отдельных предметов Ворошиловского района г.Волгограда;городской округ город-герой Волгоград;Ворошиловский район;400120, Волгоград, ул. Елецкая, д.9/2 ;94-73-38
66;Муниципальное образовательное учреждение средняя общеобразовательная школа № 48 Ворошиловского района г.Волгограда;городской округ город-герой Волгоград;Ворошиловский район;400120, Волгоград, ул. Ростовская, д.15а;45-76-95
67;Муниципальное образовательное учреждение основная общеобразовательная школа № 53 Ворошиловского района г.Волгограда;городской округ город-герой Волгоград;Ворошиловский район;400120, Волгоград, ул. Феодосийская, д.55;95-29-41
68;Муниципальное образовательное учреждение средняя общеобразовательная школа № 77 с углубленным изучением отдельных предметов Ворошиловского района г.Волгограда;городской округ город-герой Волгоград;Ворошиловский район;400120, Волгоград, ул. Ростовская, д.4 ;94-86-54
69;Муниципальное образовательное учреждение основная общеобразовательная школа № 104 Ворошиловского района г.Волгограда;городской округ город-герой Волгоград;Ворошиловский район;400120, Волгоград, ул. Елецкая, д.142;97-18-71
70;Муниципальное образовательное учреждение средняя общеобразовательная школа № 105 Ворошиловского района г.Волгограда;городской округ город-герой Волгоград;Ворошиловский район;400120, Волгоград, ул.им. Саши Филиппова, д.1;93-04-08
71;Муниципальное образовательное учреждение средняя общеобразовательная школа № 130 Ворошиловского района г.Волгограда;городской округ город-герой Волгоград;Ворошиловский район;400074, Волгоград, ул. Рабоче-Крестьянская, д.38;97-09-87
72;Муниципальное образовательное учреждение средняя общеобразовательная школа № 8 Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400038, Волгоград, ул. Волгоградская, д.14;40-01-90
73;Муниципальное образовательное учреждение средняя общеобразовательная школа № 15 Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400038, Волгоград, ул. Волгоградская, д.172;40-45-90
74;Муниципальное образовательное учреждение средняя общеобразовательная школа № 23 Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400011, Волгоград, ул. им. Ухтомского, д.10;40-72-48
75;Муниципальное образовательное учреждение средняя общеобразовательная школа № 46 имени гвардии генерал-майора В.А. Глазкова Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400034, Волгоград, ул. им. Алишера Навои, д.2 ;41-31-27
76;Муниципальное образовательное учреждение средняя общеобразовательная школа № 54 Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400002, Волгоград, ул. Казахская, д.20;41-00-42
77;Муниципальное образовательное учреждение средняя общеобразовательная школа № 58 Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400069, Волгоград, ул. Волгоградская, д.1;42-18-85
78;Муниципальное образовательное учреждение средняя общеобразовательная школа № 93 Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400119, Волгоград, ул. им. Тулака, д.1;47-52-56
79;Муниципальное образовательное учреждение средняя общеобразовательная школа № 103 Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400062, Волгоград, пр-кт. Университетский, д.88;46-22-64
80;Муниципальное образовательное учреждение средняя общеобразовательная школа № 106 с углубленным изучением отдельных предметов Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400011, Волгоград, ул. Тормосиновская, д.23;41-00-09
81;Муниципальное образовательное учреждение средняя общеобразовательная школа № 111 Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400002, Волгоград, ул. Чебышева, д.38;41-73-97
82;Муниципальное образовательное учреждение средняя общеобразовательная школа № 114 Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400038, с. Песчанка, ул. Ольховская, д. 8;96-17-05
83;Муниципальное образовательное учреждение средняя общеобразовательная школа № 116 Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400076, пос. Горный, ул. им. Семушкина, д.2;45-91-59
84;Муниципальное образовательное учреждение основная общеобразовательная школа № 127 Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400084, пос. Водный, ул. Школьная, д. 4;9195427657
85;Муниципальное образовательное учреждение средняя общеобразовательная школа № 129 Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400011, Волгоград, ул. Даугавская, д. 5а;46-11-45
86;Муниципальное образовательное учреждение средняя общеобразовательная школа № 140 Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400038, Волгоград, ул. им. Валентины Терешковой, д.52;40-19-78
87;Муниципальное образовательное учреждение открытая (сменная) общеобразовательная школа № 28 Советского района г.Волгограда;городской округ город-герой Волгоград;Советский район;400119, Волгоград, ул. Туркменская, д.17;47-76-09
88;Муниципальное образовательное учреждение средняя общеобразовательная школа № 24 Кировского района г.Волгограда;городской округ город-герой Волгоград;Кировский район;400021, Волгоград, ул.им. Кирова, д. .94б;44-90-68
89;Муниципальное образовательное учреждение средняя общеобразовательная школа № 25 Кировского района г.Волгограда;городской округ город-герой Волгоград;Кировский район;400067, Волгоград, о.Сарпинский, х. Кожзавод, д. 11;45-76-98
90;Муниципальное образовательное учреждение средняя общеобразовательная школа № 56 Кировского района г.Волгограда;городской округ город-герой Волгоград;Кировский район;400079, Волгоград, ул. им. Кирова, д. 128б;42-40-71
91;Муниципальное образовательное учреждение средняя общеобразовательная школа № 57 с углубленным изучением отдельных предметов Кировского района г.Волгограда;городской округ город-герой Волгоград;Кировский район;400059, Волгоград, ул. им. Губкина, д. 2, ул. им. Губкина, д.11а;44-15-79
92;Муниципальное образовательное учреждение средняя общеобразовательная школа № 59 Кировского района г.Волгограда;городской округ город-герой Волгоград;Кировский район;400032, Волгоград, пос. Веселая Балка, д. 62а;45-08-39
93;Муниципальное образовательное учреждение средняя общеобразовательная школа № 100 Кировского района г.Волгограда;городской округ город-герой Волгоград;Кировский район;400079, Волгоград, ул. Турбинная, д. 182;44-78-60
94;Муниципальное образовательное учреждение средняя общеобразовательная школа № 108 Кировского района г.Волгограда;городской округ город-герой Волгоград;Кировский район;400020, Волгоград, пос. им. С. Чекалина, д. 10;45-02-13
95;Муниципальное образовательное учреждение средняя общеобразовательная школа № 110 Кировского района г.Волгограда;городской округ город-герой Волгоград;Кировский район;400059, Волгоград, ул. им, Кирова, д. 116;42-41-33
96;Муниципальное образовательное учреждение средняя общеобразовательная школа № 112 Кировского района Волгограда;городской округ город-герой Волгоград;Кировский район;400021, Волгоград, ул. Алычевая, д. 1а;45-68-91
97;Муниципальное образовательное учреждение средняя общеобразовательная школа № 122 Кировского района г.Волгограда;городской округ город-герой Волгоград;Кировский район;400023, Волгоград, ул. Абганеровская, д.107;44-58-96
98;Муниципальное образовательное учреждение средняя общеобразовательная школа № 9 с углубленным изучением отдельных предметов Красноармейского района г.Волгограда;городской округ город-герой Волгоград;Красноармейский район;400112, Волгоград, ул. им. Арсеньева, д..32;67-95-28
99;Муниципальное образовательное учреждение средняя общеобразовательная школа № 31 Красноармейского района г.Волгограда;городской округ город-герой Волгоград;Красноармейский район;400055, Волгоград, ул. им. Фадеева, д. 1;62-80-02
100;Муниципальное образовательное учреждение средняя общеобразовательная школа № 38 с углубленным изучением отдельных предметов Красноармейского района г.Волгограда;городской округ город-герой Волгоград;Красноармейский район;400096, Волгоград, пр-кт. им. Столетова, д. 50а ;65-23-09
101;Муниципальное образовательное учреждение средняя общеобразовательная школа № 60 Красноармейского района г.Волгограда;городской округ город-герой Волгоград;Красноармейский район;400080, Волгоград, ул. Олимпийская, д. .33;62-57-57
102;Муниципальное образовательное учреждение средняя общеобразовательная школа № 62 Красноармейского района г.Волгограда;городской округ город-герой Волгоград;Красноармейский район;400026, Волгоград, переулок Обводный, д. 1а;67-33-71
103;Муниципальное образовательное учреждение средняя общеобразовательная школа № 64 Красноармейского района г.Волгограда;городской округ город-герой Волгоград;Красноармейский район;400086, Волгоград, ул. Героев Малой Земли, д. 53;61-58-99
104;Муниципальное образовательное учреждение средняя общеобразовательная школа № 65 Красноармейского района г.Волгограда;городской округ город-герой Волгоград;Красноармейский район;400026, Волгоград, б-р. им. Энгельса, д. 30;67-85-79
105;Муниципальное образовательное учреждение средняя общеобразовательная школа № 71 Красноармейского района г.Волгограда;городской округ город-герой Волгоград;Красноармейский район;400080, Волгоград, ул. Командира Рудь, д. 18;67-04-89
106;Муниципальное образовательное учреждение средняя общеобразовательная школа № 75 Красноармейского района г.Волгограда;городской округ город-герой Волгоград;Красноармейский район;400112, Волгоград, ул. Пролетарская, д. 9;67-51-34
